Charging Point Number,Transaction Start,Charge Start,Charge End,Transaction End,Start Wh,End Wh,Total Wh,Connect Time
6132,29/09/2020 18:48:40,29/09/2020 18:48:41,29/09/2020 20:59:53,29/09/2020 21:12:49,1233051,1239704,6653,144
6118,30/09/2020 07:28:02,30/09/2020 07:28:06,30/09/2020 10:29:59,30/09/2020 10:53:30,924685,931165,6480,205
6193,30/09/2020 14:56:49,30/09/2020 14:56:54,30/09/2020 17:20:16,30/09/2020 17:20:26,147818,155130,7312,143
6118,30/09/2020 18:51:51,30/09/2020 18:51:52,30/09/2020 20:47:03,30/09/2020 20:47:05,931211,937494,6283,115
6119,30/09/2020 15:09:28,30/09/2020 15:09:29,30/09/2020 21:24:20,30/09/2020 21:24:22,364988,385277,20289,374
6132,30/09/2020 22:04:25,30/09/2020 22:04:26,01/10/2020 06:24:03,01/10/2020 06:24:16,1239831,1270605,30774,499
6118,01/10/2020 07:36:04,01/10/2020 07:36:08,01/10/2020 13:30:00,01/10/2020 13:30:26,937554,945561,8007,354
6101,01/10/2020 18:15:55,01/10/2020 18:15:59,01/10/2020 19:36:42,01/10/2020 19:37:57,126919,131806,4887,82
6168,01/10/2020 22:10:25,01/10/2020 22:10:27,02/10/2020 07:55:33,02/10/2020 11:42:00,273308512,273340579,32067,811
6132,01/10/2020 20:20:40,01/10/2020 20:20:41,02/10/2020 04:16:47,02/10/2020 06:08:08,1270672,1297152,26480,587
6119,01/10/2020 07:01:30,01/10/2020 07:01:31,02/10/2020 00:17:19,02/10/2020 06:48:00,385324,446615,61291,1426
6118,02/10/2020 09:50:29,02/10/2020 09:50:33,02/10/2020 13:30:00,02/10/2020 13:46:19,945665,954223,8558,235
6197,02/10/2020 12:10:50,02/10/2020 12:10:51,02/10/2020 12:13:30,02/10/2020 12:13:32,1285,1360,75,2
6197,02/10/2020 12:35:47,02/10/2020 12:35:48,02/10/2020 12:39:33,02/10/2020 12:39:36,1361,1465,104,3
6197,02/10/2020 12:41:22,02/10/2020 12:41:23,02/10/2020 12:53:32,02/10/2020 12:53:34,1465,1809,344,12
6197,02/10/2020 12:58:09,02/10/2020 12:58:10,02/10/2020 13:05:39,02/10/2020 13:05:41,1810,1995,185,7
6197,02/10/2020 13:20:34,02/10/2020 13:20:35,02/10/2020 13:21:14,02/10/2020 13:21:16,1986,2003,17,0
6197,02/10/2020 13:23:36,02/10/2020 13:23:37,02/10/2020 13:25:09,02/10/2020 13:25:11,2003,2045,42,1
6197,02/10/2020 13:29:39,02/10/2020 13:29:40,02/10/2020 13:33:45,02/10/2020 13:33:47,2045,2163,118,4
6101,02/10/2020 07:59:59,02/10/2020 08:00:06,02/10/2020 13:42:13,02/10/2020 13:47:44,131867,149724,17857,347
6197,02/10/2020 14:48:29,02/10/2020 14:48:30,02/10/2020 14:50:18,02/10/2020 14:50:20,2166,2217,51,1
6197,02/10/2020 14:58:01,02/10/2020 14:58:02,02/10/2020 14:58:40,02/10/2020 14:58:42,2218,2235,17,0
6197,02/10/2020 15:00:49,02/10/2020 15:00:50,02/10/2020 15:02:54,02/10/2020 15:02:56,2235,2292,57,2
6169,02/10/2020 11:01:48,02/10/2020 11:01:50,02/10/2020 17:39:49,02/10/2020 17:40:15,273107635,273131432,23797,398
6120,02/10/2020 18:56:14,02/10/2020 18:56:18,02/10/2020 20:23:19,02/10/2020 20:24:16,267580,273218,5638,88
6120,02/10/2020 20:25:47,02/10/2020 20:25:52,02/10/2020 20:31:59,02/10/2020 20:32:44,273218,273604,386,6
6127,02/10/2020 16:44:46,02/10/2020 16:44:50,02/10/2020 21:12:32,02/10/2020 21:13:17,59666,76702,17036,268
6132,02/10/2020 23:06:10,02/10/2020 23:06:12,03/10/2020 07:55:48,03/10/2020 09:12:22,1297235,1327834,30599,606
6151,03/10/2020 08:36:09,03/10/2020 08:36:15,03/10/2020 11:01:35,03/10/2020 11:01:35,101159048,101160839,1791,145
6151,03/10/2020 12:21:41,03/10/2020 12:23:35,03/10/2020 15:45:02,03/10/2020 15:45:02,101160846,101171403,10557,203
6169,03/10/2020 15:30:46,03/10/2020 15:30:48,03/10/2020 19:21:48,03/10/2020 20:20:03,273131482,273141648,10166,289
6132,03/10/2020 17:42:28,03/10/2020 17:42:30,04/10/2020 01:49:49,04/10/2020 11:33:09,1327875,1355118,27243,1070
6146,03/10/2020 14:30:20,03/10/2020 14:30:23,03/10/2020 17:48:13,03/10/2020 17:48:15,92793,101335,8542,197
6100,03/10/2020 15:08:03,03/10/2020 15:08:07,03/10/2020 18:30:46,03/10/2020 18:30:48,271305,280476,9171,202
6115,03/10/2020 10:19:14,03/10/2020 10:19:15,03/10/2020 21:28:47,04/10/2020 09:43:27,166122,205209,39087,1404
6118,03/10/2020 17:26:35,03/10/2020 17:26:39,03/10/2020 21:52:07,04/10/2020 11:11:46,954386,968516,14130,1065
6143,04/10/2020 12:22:12,04/10/2020 12:22:16,04/10/2020 14:23:27,04/10/2020 14:23:27,587793,595144,7351,121
6143,04/10/2020 15:25:21,04/10/2020 15:25:25,04/10/2020 19:16:57,04/10/2020 19:16:57,595150,609178,14028,231
6177,04/10/2020 11:53:11,04/10/2020 11:53:16,04/10/2020 15:56:56,04/10/2020 15:57:02,35473,49193,13720,243
6118,04/10/2020 19:20:02,04/10/2020 19:20:05,05/10/2020 06:44:50,05/10/2020 06:45:08,968556,979500,10944,685
6151,05/10/2020 16:05:45,05/10/2020 16:05:54,05/10/2020 19:29:54,05/10/2020 19:45:27,101171511,101182741,11230,219
6118,05/10/2020 18:21:53,05/10/2020 18:21:55,05/10/2020 20:54:59,05/10/2020 20:55:01,979568,985194,5626,153
6118,06/10/2020 07:27:25,06/10/2020 07:27:33,06/10/2020 13:30:02,06/10/2020 13:38:26,985249,993909,8660,371
6115,04/10/2020 16:05:39,04/10/2020 16:05:40,05/10/2020 10:29:03,06/10/2020 11:09:29,205240,270414,65174,2583
6116,06/10/2020 09:07:58,06/10/2020 09:08:00,06/10/2020 12:31:08,06/10/2020 13:07:34,306270,319146,12876,239
6132,06/10/2020 16:50:14,06/10/2020 16:50:15,06/10/2020 18:14:39,06/10/2020 18:14:41,1355379,1360221,4842,84
6193,07/10/2020 08:43:24,07/10/2020 08:43:29,07/10/2020 10:58:33,07/10/2020 11:25:00,155449,162699,7250,161
6168,07/10/2020 13:00:13,07/10/2020 13:00:15,07/10/2020 18:01:21,07/10/2020 18:01:21,273340829,273358885,18056,301
6151,07/10/2020 11:14:33,07/10/2020 11:14:34,07/10/2020 19:06:12,07/10/2020 19:06:14,101182841,101197972,15131,471
6153,07/10/2020 20:00:46,07/10/2020 20:00:51,07/10/2020 20:57:33,07/10/2020 20:58:58,282589919,282591601,1682,58
6132,07/10/2020 21:43:30,07/10/2020 21:43:32,08/10/2020 04:02:19,08/10/2020 07:59:42,1360356,1380967,20611,616
6116,08/10/2020 08:02:28,08/10/2020 08:02:30,08/10/2020 11:31:59,08/10/2020 12:47:37,319363,332564,13201,285
6100,08/10/2020 23:35:55,08/10/2020 23:35:56,08/10/2020 23:37:25,08/10/2020 23:37:30,281106,281148,42,1
6132,08/10/2020 23:04:53,08/10/2020 23:04:54,09/10/2020 06:30:24,09/10/2020 06:30:35,1381041,1409203,28162,445
6100,08/10/2020 23:38:19,08/10/2020 23:38:20,09/10/2020 02:11:56,09/10/2020 11:37:19,281148,285773,4625,719
6136,09/10/2020 07:51:13,09/10/2020 07:51:14,09/10/2020 11:53:14,09/10/2020 11:53:16,627856,641756,13900,242
6138,09/10/2020 07:57:38,09/10/2020 07:57:45,09/10/2020 12:36:28,09/10/2020 13:19:50,0,0,0,322
6126,09/10/2020 13:22:26,09/10/2020 13:22:27,09/10/2020 13:22:28,09/10/2020 13:23:20,89238,89242,4,0
6126,09/10/2020 13:23:46,09/10/2020 13:25:18,09/10/2020 15:06:30,09/10/2020 16:45:34,89242,94007,4765,201
6132,09/10/2020 15:17:21,09/10/2020 15:17:23,10/10/2020 00:14:08,10/10/2020 11:25:30,1409246,1439222,29976,1208
6168,09/10/2020 19:37:28,09/10/2020 19:37:30,10/10/2020 06:03:04,10/10/2020 11:04:56,273358994,273393745,34751,927
6126,09/10/2020 23:21:48,09/10/2020 23:21:49,10/10/2020 00:41:01,10/10/2020 00:41:01,94040,96455,2415,79
6118,10/10/2020 07:31:19,10/10/2020 07:31:20,10/10/2020 10:07:59,10/10/2020 10:08:01,994417,1002112,7695,156
6136,10/10/2020 10:11:05,10/10/2020 10:11:06,10/10/2020 12:11:07,10/10/2020 12:11:09,641867,648670,6803,120
6118,10/10/2020 13:47:13,10/10/2020 13:47:17,10/10/2020 17:38:30,10/10/2020 17:38:40,1002130,1010821,8691,231
6151,10/10/2020 14:47:57,10/10/2020 14:48:03,10/10/2020 17:29:05,10/10/2020 17:52:37,101198106,101207359,9253,184
6115,10/10/2020 16:17:42,10/10/2020 16:17:48,10/10/2020 17:13:20,10/10/2020 17:13:23,270915,273034,2119,55
6193,10/10/2020 15:52:23,10/10/2020 15:52:27,10/10/2020 17:56:42,10/10/2020 18:11:59,162854,169561,6707,139
6132,10/10/2020 18:28:22,10/10/2020 18:28:32,11/10/2020 07:28:09,11/10/2020 18:04:16,1439256,1485897,46641,1415
6118,11/10/2020 06:24:48,11/10/2020 06:24:52,11/10/2020 08:24:32,11/10/2020 08:24:35,1010887,1018050,7163,119
6127,11/10/2020 09:42:19,11/10/2020 09:42:24,11/10/2020 15:01:29,11/10/2020 15:01:29,77714,98152,20438,319
6118,11/10/2020 11:44:49,11/10/2020 11:44:50,11/10/2020 14:29:05,11/10/2020 14:47:49,1018067,1025315,7248,183
6175,11/10/2020 17:54:56,11/10/2020 17:55:00,11/10/2020 19:29:09,11/10/2020 19:30:10,274486525,274491961,5436,95
6132,11/10/2020 18:33:54,11/10/2020 18:33:55,12/10/2020 02:47:08,12/10/2020 06:57:21,1485899,1513247,27348,743
6175,11/10/2020 19:30:36,11/10/2020 19:30:39,11/10/2020 20:05:53,11/10/2020 20:05:53,274491961,274493857,1896,35
6100,11/10/2020 17:15:46,11/10/2020 17:15:49,11/10/2020 21:29:55,11/10/2020 21:34:20,286042,295173,9131,258
6118,11/10/2020 14:48:33,11/10/2020 14:48:33,11/10/2020 22:29:01,11/10/2020 22:52:46,1025315,1042007,16692,484
6169,12/10/2020 07:21:17,12/10/2020 07:21:19,12/10/2020 09:41:41,12/10/2020 17:39:05,273142081,273146700,4619,617
6118,12/10/2020 07:34:41,12/10/2020 07:34:59,12/10/2020 11:14:18,12/10/2020 11:14:20,1042054,1050621,8567,219
6175,12/10/2020 14:06:16,12/10/2020 14:06:19,12/10/2020 17:24:07,12/10/2020 17:25:25,274493894,274505416,11522,199
6118,12/10/2020 12:58:56,12/10/2020 12:58:57,12/10/2020 14:17:43,12/10/2020 14:30:50,1050631,1054007,3376,91
6132,12/10/2020 15:00:45,12/10/2020 15:00:47,12/10/2020 22:16:27,13/10/2020 06:21:14,1513286,1536742,23456,920
6175,12/10/2020 17:25:34,12/10/2020 17:25:39,12/10/2020 19:15:53,12/10/2020 19:16:12,274505416,274511828,6412,110
6118,12/10/2020 17:48:56,12/10/2020 17:48:57,12/10/2020 19:51:11,12/10/2020 19:51:13,1054024,1059895,5871,122
6175,12/10/2020 20:15:31,12/10/2020 20:15:35,12/10/2020 20:50:47,12/10/2020 20:50:49,274511831,274513834,2003,35
6107,13/10/2020 07:13:12,13/10/2020 07:13:17,13/10/2020 08:11:48,13/10/2020 08:11:55,68025,71763,3738,58
6197,13/10/2020 11:04:04,13/10/2020 11:04:05,13/10/2020 11:06:10,13/10/2020 11:06:12,2625,2656,31,2
6197,13/10/2020 11:11:54,13/10/2020 11:11:55,13/10/2020 11:16:03,13/10/2020 11:16:05,2657,2718,61,4
6136,13/10/2020 11:54:18,13/10/2020 11:54:19,13/10/2020 11:55:07,13/10/2020 11:55:09,649025,649063,38,0
6132,13/10/2020 15:12:16,13/10/2020 15:12:18,13/10/2020 23:32:23,14/10/2020 06:20:57,1536785,1564501,27716,908
6118,13/10/2020 18:06:50,13/10/2020 18:06:51,13/10/2020 20:26:27,13/10/2020 20:26:28,1060019,1066350,6331,139
6175,13/10/2020 20:40:51,13/10/2020 20:40:56,14/10/2020 06:26:28,14/10/2020 06:27:04,274513882,274527429,13547,586
6126,13/10/2020 22:08:50,13/10/2020 22:08:51,14/10/2020 00:29:36,14/10/2020 01:11:03,96923,101119,4196,182
6118,13/10/2020 21:03:30,13/10/2020 21:03:35,14/10/2020 02:20:51,14/10/2020 05:20:35,1066353,1083442,17089,497
6118,14/10/2020 07:46:45,14/10/2020 07:47:13,14/10/2020 11:07:58,14/10/2020 11:08:01,1083454,1092023,8569,201
6136,14/10/2020 11:38:57,14/10/2020 11:38:58,14/10/2020 11:39:50,14/10/2020 11:39:52,649180,649224,44,0
6138,14/10/2020 08:00:57,14/10/2020 08:01:05,14/10/2020 11:37:56,14/10/2020 12:00:09,0,0,0,239
6136,14/10/2020 11:41:36,14/10/2020 11:41:38,14/10/2020 13:03:09,14/10/2020 13:04:25,649224,654073,4849,82
6115,14/10/2020 12:13:58,14/10/2020 12:13:59,14/10/2020 17:13:55,14/10/2020 17:14:41,273485,292813,19328,300
6132,14/10/2020 14:59:06,14/10/2020 14:59:08,14/10/2020 22:51:33,15/10/2020 06:10:47,1564542,1590292,25750,911
6169,15/10/2020 08:59:01,15/10/2020 08:59:03,15/10/2020 11:15:33,15/10/2020 17:45:44,273146834,273151369,4535,526
6136,14/10/2020 13:44:12,14/10/2020 13:44:13,15/10/2020 10:25:06,15/10/2020 10:25:06,654076,655281,1205,1240
6136,15/10/2020 10:47:31,15/10/2020 10:47:32,16/10/2020 12:36:41,16/10/2020 12:36:43,655283,656218,935,1549
6193,15/10/2020 08:26:46,15/10/2020 08:26:52,15/10/2020 10:37:45,15/10/2020 10:50:36,169782,176848,7066,143
6118,15/10/2020 15:10:21,15/10/2020 15:10:25,15/10/2020 18:29:58,15/10/2020 18:32:37,1092174,1099821,7647,202
6132,15/10/2020 18:11:33,15/10/2020 18:11:35,16/10/2020 02:51:10,16/10/2020 06:07:10,1590351,1619629,29278,715
6169,15/10/2020 18:55:52,15/10/2020 18:58:06,16/10/2020 00:32:35,16/10/2020 06:18:09,273151372,273171359,19987,682
6119,15/10/2020 16:19:46,15/10/2020 16:19:47,16/10/2020 09:02:19,16/10/2020 09:54:31,448763,508631,59868,1054
6143,16/10/2020 08:33:42,16/10/2020 08:33:49,16/10/2020 10:00:37,16/10/2020 10:00:46,618400,623541,5141,87
6136,16/10/2020 12:49:55,16/10/2020 12:49:56,16/10/2020 20:44:37,16/10/2020 20:44:39,656219,656802,583,474
6132,16/10/2020 16:20:35,16/10/2020 16:20:37,16/10/2020 23:05:48,17/10/2020 11:20:45,1619678,1641318,21640,1140
6136,16/10/2020 20:45:28,16/10/2020 20:45:29,17/10/2020 07:51:50,17/10/2020 07:51:50,656802,657317,515,666
6175,16/10/2020 21:38:47,16/10/2020 21:38:52,17/10/2020 04:20:07,17/10/2020 07:19:07,274527554,274546827,19273,580
6168,16/10/2020 22:24:33,16/10/2020 22:24:35,17/10/2020 07:15:54,17/10/2020 12:44:25,273394063,273422912,28849,859
6136,17/10/2020 08:09:00,17/10/2020 08:09:01,17/10/2020 12:18:18,17/10/2020 12:18:18,657318,657786,468,249
6143,17/10/2020 09:46:40,17/10/2020 09:46:46,17/10/2020 12:46:37,17/10/2020 12:46:37,623657,634579,10922,179
6136,17/10/2020 12:19:00,17/10/2020 12:19:01,17/10/2020 13:59:18,17/10/2020 13:59:18,657786,658198,412,100
6143,17/10/2020 14:05:48,17/10/2020 14:05:49,17/10/2020 17:23:23,17/10/2020 17:23:25,634586,634981,395,197
6136,17/10/2020 14:29:21,17/10/2020 14:29:25,17/10/2020 16:25:29,17/10/2020 16:25:29,658201,665447,7246,116
6143,17/10/2020 17:24:09,17/10/2020 17:24:10,18/10/2020 07:51:50,18/10/2020 07:51:50,634981,635760,779,867
6132,17/10/2020 18:35:25,17/10/2020 18:35:27,18/10/2020 00:24:53,19/10/2020 06:14:59,1641353,1660028,18675,2139
6136,17/10/2020 16:47:20,17/10/2020 16:47:21,18/10/2020 07:20:38,18/10/2020 07:20:40,665450,698258,32808,873
6143,18/10/2020 07:52:11,18/10/2020 07:52:12,18/10/2020 11:41:43,18/10/2020 11:41:43,635760,635897,137,229
6104,18/10/2020 08:56:49,18/10/2020 08:56:53,18/10/2020 11:36:20,18/10/2020 11:36:37,69656,79459,9803,159
6143,18/10/2020 11:42:02,18/10/2020 11:42:03,18/10/2020 14:31:28,18/10/2020 14:31:28,635897,635981,84,169
6136,18/10/2020 12:36:48,18/10/2020 12:36:53,18/10/2020 15:55:50,18/10/2020 16:14:20,698284,709963,11679,217
6119,18/10/2020 08:33:30,18/10/2020 08:33:31,18/10/2020 20:46:16,18/10/2020 20:54:58,509050,547578,38528,741
6132,19/10/2020 14:43:27,19/10/2020 14:43:29,19/10/2020 20:30:47,20/10/2020 06:28:20,1660069,1678343,18274,944
6175,19/10/2020 16:22:22,19/10/2020 16:22:26,19/10/2020 19:21:31,19/10/2020 19:22:13,274546940,274557334,10394,179
6118,19/10/2020 18:15:27,19/10/2020 18:16:21,19/10/2020 21:22:43,19/10/2020 21:22:46,1100341,1108636,8295,187
6118,20/10/2020 07:15:43,20/10/2020 07:15:44,20/10/2020 10:29:02,20/10/2020 10:35:43,1108694,1115703,7009,200
6101,20/10/2020 08:17:36,20/10/2020 08:20:45,20/10/2020 08:20:46,20/10/2020 10:30:00,151836,151851,15,132
6101,20/10/2020 11:59:39,20/10/2020 11:59:50,20/10/2020 15:58:53,20/10/2020 15:58:56,151862,164542,12680,239
6118,20/10/2020 10:36:20,20/10/2020 10:36:21,20/10/2020 12:59:05,20/10/2020 13:02:58,1115703,1123177,7474,146
6151,20/10/2020 14:47:15,20/10/2020 14:47:21,20/10/2020 17:29:02,20/10/2020 17:57:25,101207854,101217214,9360,190
6132,20/10/2020 14:47:54,20/10/2020 14:47:56,20/10/2020 20:54:08,21/10/2020 06:16:31,1678383,1697893,19510,928
6118,20/10/2020 13:03:42,20/10/2020 13:03:43,20/10/2020 14:59:01,20/10/2020 15:08:04,1123177,1130577,7400,124
6118,20/10/2020 15:08:39,20/10/2020 15:08:40,20/10/2020 16:59:03,20/10/2020 17:02:30,1130577,1137632,7055,113
6175,20/10/2020 20:58:45,20/10/2020 20:58:51,21/10/2020 03:20:33,21/10/2020 06:37:15,274557384,274576130,18746,578
6169,21/10/2020 06:40:40,21/10/2020 06:40:42,21/10/2020 12:19:00,21/10/2020 16:56:59,273171607,273187616,16009,616
6118,21/10/2020 10:38:00,21/10/2020 10:38:04,21/10/2020 13:39:50,21/10/2020 13:39:52,1137730,1146212,8482,181
6132,21/10/2020 14:53:20,21/10/2020 14:53:22,21/10/2020 21:10:27,22/10/2020 05:39:35,1697935,1718007,20072,886
6118,21/10/2020 13:55:15,21/10/2020 13:55:16,21/10/2020 15:29:01,21/10/2020 16:06:37,1146213,1151846,5633,131
6174,21/10/2020 11:12:00,21/10/2020 11:12:05,21/10/2020 18:01:22,21/10/2020 18:01:47,272985775,273009534,23759,409
6118,21/10/2020 17:23:12,21/10/2020 17:23:13,21/10/2020 19:45:17,21/10/2020 19:45:19,1151853,1158733,6880,142
6132,22/10/2020 14:50:59,22/10/2020 14:51:01,22/10/2020 21:25:19,23/10/2020 06:00:02,1718051,1739556,21505,909
6118,22/10/2020 19:11:13,22/10/2020 19:11:15,22/10/2020 20:34:37,22/10/2020 20:34:39,1158871,1163801,4930,83
6168,22/10/2020 21:24:14,22/10/2020 21:24:16,23/10/2020 07:26:44,23/10/2020 07:32:04,273423174,273456379,33205,607
6155,22/10/2020 21:51:37,22/10/2020 21:51:42,22/10/2020 23:08:00,22/10/2020 23:08:22,271615407,271619517,4110,76
6118,23/10/2020 07:24:45,23/10/2020 07:25:02,23/10/2020 11:00:00,23/10/2020 11:17:26,1163865,1172287,8422,232
6116,23/10/2020 14:39:45,23/10/2020 14:39:49,23/10/2020 15:57:50,23/10/2020 15:59:00,334389,339209,4820,79
6155,23/10/2020 09:23:49,23/10/2020 09:23:54,23/10/2020 12:45:58,23/10/2020 14:42:35,271619548,271628593,9045,318
6132,23/10/2020 14:42:39,23/10/2020 14:42:41,23/10/2020 20:22:35,24/10/2020 07:44:02,1739598,1757317,17719,1021
6136,23/10/2020 08:21:20,23/10/2020 08:21:22,23/10/2020 15:28:01,23/10/2020 15:29:37,710518,735008,24490,428
6169,23/10/2020 12:11:09,23/10/2020 12:11:13,23/10/2020 16:30:05,23/10/2020 17:47:39,273187708,273202715,15007,336
6142,23/10/2020 18:11:40,23/10/2020 18:18:16,23/10/2020 18:18:18,23/10/2020 18:18:51,458774,458774,0,7
6175,23/10/2020 21:01:30,23/10/2020 21:01:35,24/10/2020 07:14:33,24/10/2020 07:15:07,274576254,274594239,17985,613
6142,23/10/2020 18:27:47,23/10/2020 18:27:55,23/10/2020 22:05:04,23/10/2020 22:05:39,458775,470804,12029,217
6120,23/10/2020 22:51:53,23/10/2020 22:51:55,23/10/2020 22:53:44,23/10/2020 22:53:46,276293,276403,110,1
6120,23/10/2020 22:55:44,23/10/2020 22:55:46,24/10/2020 07:05:49,24/10/2020 07:06:14,276404,307137,30733,490
6136,23/10/2020 19:44:25,23/10/2020 19:44:26,24/10/2020 08:04:57,24/10/2020 08:04:59,735029,763699,28670,740
6169,24/10/2020 10:40:11,24/10/2020 10:40:13,24/10/2020 16:33:45,24/10/2020 19:07:38,273202752,273219443,16691,507
6155,24/10/2020 10:39:03,24/10/2020 10:39:04,24/10/2020 12:08:13,24/10/2020 12:08:15,271628653,271630331,1678,89
6132,24/10/2020 15:50:30,24/10/2020 15:50:32,24/10/2020 21:17:19,25/10/2020 12:46:11,1757356,1774516,17160,1255
6151,24/10/2020 15:34:55,24/10/2020 15:35:01,24/10/2020 16:29:03,24/10/2020 16:52:24,101217450,101220544,3094,77
6118,24/10/2020 22:20:56,24/10/2020 22:21:00,25/10/2020 02:28:56,25/10/2020 09:21:09,1172494,1185367,12873,660
6127,25/10/2020 11:00:40,25/10/2020 11:00:45,25/10/2020 12:40:15,25/10/2020 12:40:17,143975,150205,6230,99
6193,25/10/2020 12:01:57,25/10/2020 12:02:01,25/10/2020 13:16:48,25/10/2020 13:29:32,177332,181107,3775,87
6184,25/10/2020 13:46:10,25/10/2020 13:46:14,25/10/2020 22:23:24,25/10/2020 22:30:35,15181,45406,30225,524
6106,25/10/2020 13:45:02,25/10/2020 13:45:03,25/10/2020 13:56:15,25/10/2020 13:56:17,42474,43079,605,11
6132,25/10/2020 13:42:53,25/10/2020 13:42:54,25/10/2020 18:00:03,25/10/2020 18:00:12,1774521,1790287,15766,257
6132,25/10/2020 18:29:51,25/10/2020 18:29:53,26/10/2020 01:25:01,26/10/2020 06:52:58,1790289,1813046,22757,743
6115,25/10/2020 18:39:12,25/10/2020 18:39:13,25/10/2020 20:59:11,25/10/2020 20:59:13,294128,302350,8222,140
6119,25/10/2020 12:49:43,25/10/2020 12:49:45,26/10/2020 03:59:26,26/10/2020 07:53:37,549553,602801,53248,1143
6118,26/10/2020 09:46:58,26/10/2020 09:46:59,26/10/2020 13:41:21,26/10/2020 13:41:23,1185507,1192485,6978,234
6106,26/10/2020 09:09:58,26/10/2020 09:09:59,26/10/2020 11:05:42,26/10/2020 11:22:46,43134,49652,6518,132
6132,26/10/2020 15:10:55,26/10/2020 15:10:56,26/10/2020 22:40:35,27/10/2020 06:58:59,1813086,1837524,24438,948
6136,26/10/2020 17:24:05,26/10/2020 17:24:08,26/10/2020 20:47:50,26/10/2020 20:47:50,763984,776788,12804,203
6193,26/10/2020 16:01:46,26/10/2020 16:01:51,26/10/2020 18:10:55,26/10/2020 18:30:54,181160,188148,6988,149
6118,27/10/2020 07:52:52,27/10/2020 07:53:06,27/10/2020 11:27:07,27/10/2020 11:27:09,1192579,1201245,8666,214
6168,27/10/2020 12:57:45,27/10/2020 12:57:47,27/10/2020 20:02:05,27/10/2020 20:03:05,273456606,273478876,22270,425
6118,27/10/2020 14:12:46,27/10/2020 14:12:50,27/10/2020 18:59:59,27/10/2020 19:12:31,1201261,1210342,9081,299
6132,27/10/2020 20:05:31,27/10/2020 20:05:33,28/10/2020 03:57:42,28/10/2020 07:17:40,1837588,1863839,26251,672
6143,28/10/2020 18:14:37,28/10/2020 18:14:41,28/10/2020 20:55:27,28/10/2020 20:55:27,637162,646813,9651,160
6132,28/10/2020 19:36:18,28/10/2020 19:36:20,29/10/2020 03:23:47,29/10/2020 07:24:12,1863899,1889754,25855,707
6175,28/10/2020 22:32:43,28/10/2020 22:32:47,29/10/2020 05:13:39,29/10/2020 11:42:19,274594461,274613883,19422,789
6118,29/10/2020 09:07:37,29/10/2020 09:07:39,29/10/2020 11:22:32,29/10/2020 11:22:34,1210530,1216864,6334,134
6188,29/10/2020 12:34:58,29/10/2020 12:35:00,30/10/2020 03:03:42,30/10/2020 07:32:33,274128433,274177286,48853,1137
6132,29/10/2020 18:58:02,29/10/2020 18:58:04,30/10/2020 03:53:24,30/10/2020 07:05:24,1889779,1919680,29901,727
6175,29/10/2020 21:55:28,29/10/2020 21:55:32,30/10/2020 04:22:11,30/10/2020 07:37:46,274613903,274633240,19337,582
6136,30/10/2020 08:56:56,30/10/2020 08:57:00,30/10/2020 09:18:40,30/10/2020 09:18:40,777139,778475,1336,21
6118,30/10/2020 09:01:26,30/10/2020 09:01:30,30/10/2020 12:36:38,30/10/2020 13:12:04,1216908,1225542,8634,250
6122,25/10/2020 13:17:13,25/10/2020 13:17:16,25/10/2020 13:17:16,25/10/2020 13:17:16,58151,58206,55,0
6106,30/10/2020 09:47:29,30/10/2020 09:47:31,30/10/2020 14:28:20,30/10/2020 14:28:22,49916,56219,6303,280
6168,30/10/2020 14:44:06,30/10/2020 14:44:08,30/10/2020 17:26:26,30/10/2020 17:26:26,273479022,273488708,9686,162
6178,30/10/2020 09:55:48,30/10/2020 09:56:39,30/10/2020 18:58:14,30/10/2020 18:58:41,286524168,286551417,27249,542
6133,30/10/2020 21:01:12,30/10/2020 21:01:17,30/10/2020 21:24:39,30/10/2020 21:24:46,197193,198590,1397,23
6132,30/10/2020 21:32:28,30/10/2020 21:32:29,31/10/2020 07:11:06,31/10/2020 08:39:19,1919709,1952084,32375,666
6118,30/10/2020 19:00:32,30/10/2020 19:00:35,30/10/2020 23:27:33,31/10/2020 00:00:25,1225554,1239926,14372,299
6139,31/10/2020 12:58:02,31/10/2020 12:58:04,31/10/2020 16:24:50,31/10/2020 16:26:47,226721,239503,12782,208
6168,31/10/2020 16:50:58,31/10/2020 16:51:00,31/10/2020 23:47:51,31/10/2020 23:47:51,273488757,273513655,24898,416
6118,31/10/2020 18:00:08,31/10/2020 18:00:12,31/10/2020 18:37:57,31/10/2020 18:38:03,1239964,1242126,2162,37
6132,31/10/2020 20:24:11,31/10/2020 20:24:13,01/11/2020 06:00:08,01/11/2020 11:05:56,1952107,1984466,32359,881
6175,31/10/2020 23:57:37,31/10/2020 23:57:42,01/11/2020 10:51:17,01/11/2020 10:51:19,274633319,274637890,4571,653
6116,01/11/2020 07:48:18,01/11/2020 07:48:20,01/11/2020 09:34:45,01/11/2020 09:35:15,340017,346691,6674,106
6118,01/11/2020 09:39:44,01/11/2020 09:39:46,01/11/2020 11:35:56,01/11/2020 11:35:58,1242151,1248832,6681,116
6175,01/11/2020 10:57:20,01/11/2020 10:57:21,01/11/2020 11:06:29,01/11/2020 11:06:29,274637890,274637894,4,9
6143,01/11/2020 09:16:05,01/11/2020 09:16:06,01/11/2020 13:01:32,01/11/2020 13:01:34,646988,659482,12494,225
